days,true_rate
14.60416667,480.6336147
14.625,481.3328038
14.64583333,473.2710361
14.66666667,470.5526646
14.6875,470.6418402
14.70833333,466.3838461
14.72916667,448.5409462
14.75,446.456537
14.77083333,458.0475994
14.79166667,465.0878966
14.8125,472.8751854
14.83333333,483.7417196
14.85416667,482.7441028
14.875,463.1804482
14.89583333,441.6243409
14.91666667,422.8757807
14.9375,381.6668431
14.95833333,350.2390376
14.97916667,326.7810435
15,313.3445562
15.02083333,291.6508581
15.04166667,278.5417754
15.0625,273.0942312
15.08333333,267.8313023
15.10416667,270.1376043
15.125,265.9823677
15.14583333,265.1502081
15.16666667,266.9949716
15.1875,274.0089658
15.20833333,295.6998831
15.22916667,366.4335971
15.25,430.1245144
15.27083333,508.7692778
15.29166667,577.7217336
15.3125,685.2588048
15.33333333,804.6112605
15.35416667,931.0714086
15.375,1025.685403
15.39583333,1062.514782
15.41666667,1051.344161
15.4375,1050.881232
15.45833333,1018.94138
15.47916667,949.3399894
15.5,913.0616759
15.52083333,887.5833625
15.54166667,851.9996332
15.5625,780.672177
15.58333333,766.9169405
15.60416667,745.038627
15.625,730.1756982
15.64583333,715.6820001
15.66666667,701.7421482
15.6875,664.4484501
15.70833333,632.7855212
15.72916667,599.0918232
15.75,567.7058174
15.77083333,557.6428885
15.79166667,567.7030366
15.8125,568.9939539
15.83333333,554.3156405
15.85416667,552.5604039
15.875,529.5743982
15.89583333,498.003777
15.91666667,463.0177712
15.9375,423.6933039
15.95833333,377.6303751
15.97916667,340.5212924
16,325.6583636
16.02083333,298.0569732
16.04166667,286.0555828
16.0625,279.6849616
16.08333333,273.8681866
16.10416667,270.5437193
16.125,270.819252
16.14583333,272.2371201
16.16666667,277.6818835
16.1875,297.6189547
16.20833333,335.2791028
16.22916667,381.6161739
16.25,476.7840143
16.27083333,562.4441624
16.29166667,652.2581566
16.3125,753.1490739
16.33333333,865.1442802
16.35416667,936.4822616
16.375,976.450102
16.39583333,992.8794808
16.41666667,973.1242443
16.4375,960.8459308
16.45833333,918.4753097
16.47916667,868.9969962
16.5,813.8879135
16.52083333,792.7480616
16.54166667,771.3312866
16.5625,751.8529731
16.58333333,741.0515828
16.60416667,714.1886539
16.625,712.4334174
16.64583333,693.6012578
16.66666667,672.5537135
16.6875,654.1830924
16.70833333,624.181702
16.72916667,592.4264655
16.75,520.62378
16.77083333,500.8685435
16.79166667,510.0979223
16.8125,518.2196089
16.83333333,509.4489877
16.85416667,498.739905
16.875,481.2923608
16.89583333,459.1371242
16.91666667,420.7357339
16.9375,368.0266512
16.95833333,344.7637223
16.97916667,311.0700242
17,286.0532492
17.02083333,262.5133973
17.04166667,245.5273916
17.0625,241.8366074
17.08333333,238.9736786
17.10416667,234.3569036
17.125,237.3454844
17.14583333,236.3287094
17.16666667,245.4657806
17.1875,265.9566979
17.20833333,300.5706921
17.22916667,356.7846864
17.25,445.9525267
17.27083333,543.3357518
17.29166667,620.0420537
17.3125,730.532971
17.33333333,830.8700421
17.35416667,907.8532671
17.375,962.5903383
17.39583333,964.3427941
17.41666667,929.2644806
17.4375,939.7861671
17.45833333,885.6001614
17.47916667,839.3526171
17.5,773.4435345
17.52083333,774.365221
17.54166667,749.348446
17.5625,727.0085941
17.58333333,731.2533575
17.60416667,703.6519671
17.625,691.3736537
17.64583333,678.8184171
17.66666667,663.4688537
17.6875,642.0520787
17.70833333,595.8968422
17.72916667,565.3416057
17.75,540.6940614
17.77083333,517.9849787
17.79166667,517.5220499
17.8125,512.0745057
17.83333333,510.2269614
17.85416667,499.5178787
17.875,483.6395653
17.89583333,454.3692795
17.91666667,428.4294275
17.9375,378.9511141
17.95833333,343.8728006
17.97916667,310.7329487
18,291.3469429
18.02083333,265.6840141
18.04166667,254.5133929
18.0625,241.8658487
18.08333333,236.9721506
18.10416667,240.1092218
18.125,236.8770622
18.14583333,239.4602872
18.16666667,248.7819737
18.1875,269.4575064
18.20833333,318.656116
18.22916667,373.2085718
18.25,475.4841045
18.27083333,499.8589087
18.29166667,584.9652107
18.3125,667.6715126
18.33333333,782.1316607
18.35416667,843.2379626
18.375,887.6365722
18.39583333,865.5736434
18.41666667,851.6337914
18.4375,834.2785549
18.45833333,787.1079337
18.47916667,748.9834664
18.5,701.2589991
18.52083333,694.0576087
18.54166667,666.0869876
18.5625,632.9471357
18.58333333,619.3512313
18.60416667,609.0113794
18.625,585.7484505
18.64583333,571.993214
18.66666667,547.9343116
18.6875,584.904064
18.70833333,552.5949813
18.72916667,528.7782063
18.75,492.7768159
18.77083333,475.236964
18.79166667,471.3586505
18.8125,457.4187986
18.83333333,445.6943313
18.85416667,447.446787
18.875,433.0453966
18.89583333,416.5209293
18.91666667,378.0272313
18.9375,343.0412255
18.95833333,313.7782967
18.97916667,281.6538293
19,264.852439
19.02083333,235.7741255
19.04166667,219.5265813
19.0625,209.1867293
19.08333333,207.6161082
19.10416667,205.3070255
19.125,207.6133274
19.14583333,209.5503986
19.16666667,225.8874697
19.1875,250.4848344
19.20833333,297.283444
19.22916667,374.5435921
19.25,487.0652786
19.27083333,611.2177344
19.29166667,729.6471132
19.3125,833.6764921
19.33333333,952.1058709
19.35416667,1012.012173
19.375,1063.149244
19.39583333,1045.240161
19.41666667,1018.561848
19.4375,989.3912267
19.45833333,927.9585165
19.47916667,861.2229891
19.5,789.1249665
19.52083333,770.3851146
19.54166667,739.9221858
19.5625,719.33618
19.58333333,701.0578665
19.60416667,688.50263
19.625,666.4397012
19.64583333,650.0998492
19.66666667,631.6369204
19.6875,601.2662992
19.70833333,556.1264473
19.72916667,525.2942877
19.75,487.8159742
19.77083333,454.0299685
19.79166667,438.5881434
19.8125,424.9252146
19.83333333,418.4622858
19.85416667,386.0608954
19.875,376.1825819
19.89583333,362.8888838
19.91666667,330.3951858
19.9375,316.1784108
19.95833333,282.9462511
19.97916667,271.77563
20,252.5742396
20.02083333,229.3113108
20.04166667,218.6022281
20.0625,211.30853
20.08333333,203.7379088
20.10416667,203.3248644
20.125,201.2003971
20.14583333,201.5682375
20.16666667,202.9514625
20.1875,212.1808414
20.20833333,229.9025279
20.22916667,257.0292563
20.25,298.0124813
20.27083333,358.288014
20.29166667,447.4558544
20.3125,529.8852333
20.33333333,625.8838429
20.35416667,704.2516833
20.375,766.0964467
20.39583333,775.787364
20.41666667,786.3090506
20.4375,770.0615063
20.45833333,731.0139621
20.47916667,664.1818025
20.5,623.103489
20.52083333,591.7174833
20.54166667,569.6545544
20.5625,525.3454717
20.58333333,515.6517737
20.60416667,505.6811525
20.625,484.2643775
20.64583333,463.8629871
20.66666667,437.8308275
20.6875,422.0448217
20.70833333,401.2796269
20.72916667,384.4782366
20.75,367.123
20.77083333,344.9677635
20.79166667,342.1048346
20.8125,335.6419058
20.83333333,320.5943616
20.85416667,319.9468173
20.875,312.6531193
20.89583333,296.5901904
20.91666667,283.3888
20.9375,265.4797173
20.95833333,252.7398654
20.97916667,244.9846289
21,240.0761936
21.02083333,225.5216881
21.04166667,219.4523732
21.0625,209.9415488
21.08333333,203.3288377
21.10416667,198.3463152
21.125,199.0694532
21.14583333,196.7133458
21.16666667,197.9798799
21.1875,198.1596216
21.20833333,204.0450237
